frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,2,[107 227 949 664],[597.9487915039062 522.08740234375 789.6681518554688 592.1307983398438],0.7312483787536621,None,None
0,1,[80 98 257 228],[123.63534545898438 172.0805206298828 170.67686462402344 198.2167205810547],0.31873777508735657,None,None
1,2,[113 227 944 657],[584.4771118164062 517.027587890625 778.162841796875 589.0787353515625],0.7337494492530823,None,None
2,2,[113 226 935 653],[567.7832641601562 517.654052734375 762.0701904296875 587.4336547851562],0.7395926117897034,None,None
2,1,[75 96 262 234],[122.74211120605469 181.2908935546875 171.5879669189453 206.15838623046875],0.4856083393096924,None,None
3,2,[110 226 920 647],[556.6995239257812 518.0586547851562 744.218994140625 585.2486572265625],0.7424843907356262,None,None
3,1,[70 95 262 237],[116.81485748291016 186.57470703125 167.57696533203125 208.1734161376953],0.4907408356666565,None,None
4,2,[105 225 912 646],[533.3941650390625 515.6328735351562 730.6138305664062 582.9906005859375],0.7507594227790833,None,None
4,1,[61 94 261 242],[110.35736846923828 186.89491271972656 164.095947265625 210.19027709960938],0.5149005651473999,None,None
5,2,[100 224 900 642],[519.5123901367188 510.5213623046875 710.9590454101562 578.9005737304688],0.7401978969573975,None,None
5,1,[48 91 256 245],[97.40190887451172 187.23094177246094 151.021240234375 211.56700134277344],0.5632504820823669,None,None
6,2,[96 224 885 636],[500.57269287109375 505.11883544921875 696.0509033203125 575.1828002929688],0.7269129753112793,None,None
6,1,[35 87 252 247],[85.95942687988281 185.82687377929688 143.50050354003906 211.18775939941406],0.46681979298591614,None,None
7,2,[94 222 874 631],[493.8409423828125 501.2908630371094 687.2451782226562 568.1334838867188],0.7340836524963379,None,None
7,1,[28 84 250 248],[81.74969482421875 184.63067626953125 142.58407592773438 211.1375732421875],0.4964190423488617,None,None
8,2,[99 219 871 625],[482.449951171875 495.02105712890625 681.9747314453125 563.4678344726562],0.7280336022377014,None,None
8,1,[23 78 254 247],[79.82830047607422 183.09991455078125 142.6045379638672 210.00379943847656],0.3550749123096466,None,None
